files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.88  T=0.04 s (75.0 files/s, 5371.6 lines/s)"
1,Python,21,11,101
1,Markdown,11,0,66
1,YAML,0,0,5
3,SUM,32,11,172
